ID,Question,Solvable by Policy (Assume Executed)
BCR-11.2,"Do you have documented policies and procedures demonstrating adherence to data retention periods as per legal, statutory or regulatory compliance requirements?",Yes
BCR-11.3,"Have you implemented backup or recovery mechanisms to ensure compliance with regulatory, statutory, contractual or business requirements? Are the backups encrypted with AES-256?",Yes
BCR-11.4,"If using virtual infrastructure, does your cloud solution include independent hardware restore and recovery capabilities?",No
BCR-11.5,"If using virtual infrastructure, do you provide tenants with a capability to restore a virtual machine to a previous configuration?",No
BCR-11.6,Does your cloud solution include software/provider independent restore and recovery capabilities?,No
BCR-11.7,Do you test your backup or redundancy mechanisms at least annually? Change Control & Configuration ManagementCOLLAPSE,Yes
CCC-01.1,"Are policies and procedures established for management authorization for development or acquisition of new applications, systems, databases, infrastructure, services, operations and facilities?",Yes
CCC-02.1,"Are policies and procedures for change management, release, and testing adequately communicated to external business partners?",Yes
CCC-02.2,Are policies and procedures adequately enforced to ensure external business partners comply with change management requirements?,Yes
CCC-03.1,"Do you have a defined quality change control and testing process in place based on system availability, confidentiality, and integrity? Are your system management processes set according to ITIL, ISO20000, or similar?",No
CCC-03.2,Is documentation describing known issues with certain products/services available?,Yes
CCC-03.3,Are there policies and procedures in place to triage and remedy reported bugs and security vulnerabilities for product and service offerings?,Yes
CCC-03.4,Do you have controls in place to ensure that standards of quality are being met for all software development?,Yes
CCC-03.5,Do you have controls in place to detect source code security defects for any outsourced software development activities?,No
CCC-03.6,Are mechanisms in place to ensure that all debugging and test code elements are removed from released software versions?,Yes
CCC-04.1,"Do you have controls in place to restrict and monitor the installation of unauthorized software onto your systems? If yes, how is this accomplished?",Yes
CCC-05.1,Do you provide tenants with documentation that describes your production change management procedures and their roles/rights/responsibilities within it?,Yes
CCC-05.2,Do you have policies and procedures established for managing risks with respect to change management in production environments?,Yes
CCC-05.3,"Do you have technical measures in place to ensure that changes in production environments are registered, authorized and in adherence with existing SLAs? Data Security & Information Lifecycle ManagementCOLLAPSE",No
DSI-01.1,"Do you provide a capability to identify data and virtual machines via policy tags/metadata (e.g., tags can be used to limit guest operating systems from booting/instantiating/transporting data in the wrong country)?",Yes
DSI-01.2,"Do you provide a capability to identify data and hardware via policy tags/metadata/hardware tags (e.g., TXT/TPM, VN-Tag, etc.)?",Yes
DSI-02.1,"Do you inventory, document, and maintain data flows for data that is resident (permanent or temporary) within the services' applications and infrastructure network and systems?",Yes
DSI-02.2,"Can you ensure that data does not migrate beyond a defined geographical residency? If yes, please describe",No
DSI-03.1,"Do you provide standardized (e.g. ISO/IEC) non-proprietary encryption algorithms (3DES, AES, etc.) to tenants in order for them to protect their data if it is required to move through public networks (e.g., the Internet)?",Yes
DSI-03.2,"Do you utilize open encryption methodologies any time your infrastructure components need to communicate with each other via public networks (e.g., Internet-based replication of data from one environment to another)? What version of TLS and what cipher suites/algorithms are used to encrypt data in transit? Please provide url that Bayer will use to access the solution.",Yes
DSI-04.1,"Are policies and procedures established for data labeling and handling in order to ensure the security of data and objects that contain data? Is there the capability to allow the users to see that information stored in your system is classified (e.g. labeled as ""Secret"" per Bayer's classification system?)",Yes
DSI-04.2,"Do you follow a structured data-labeling standard (e.g., ISO 15489, Oasis XML Catalog Specification, CSA data type guidance)?",Yes
DSI-04.3,Are mechanisms for label inheritance implemented for objects that act as aggregate containers for data?,Yes
DSI-05.1,Do you have procedures in place to ensure production data shall not be replicated or used in non-production environments? Please describe how this is enforced,Yes
DSI-06.1,"Are the responsibilities regarding data stewardship defined, assigned, documented, and communicated?",Yes
DSI-07.1,"Do you support the secure deletion (e.g., degaussing/cryptographic wiping) of archived and backed-up data? If yes, do you follow NIST Special Publication (SP) 800-88-Guidelines for Media Sanitization? How long is data retained?",Yes
DSI-07.2,"Can you provide a published procedure for exiting the service arrangement, including assurance to sanitize all computing resources of tenant data once a customer has exited your environment or has vacated a resource? How is data handled and deleted at the end of service? Is this documented in your contract? Datacenter SecurityCOLLAPSE",Yes
DCS-01.1,"Do you classify your assets in terms of business criticality, service-level expectations, and operational continuity requirements?",No
DCS-01.2,Do you maintain a complete inventory of all of your critical assets located at all sites/ or geographical locations and their assigned ownership?,Yes
DCS-02.1,"Are physical security perimeters (e.g., fences, walls, barriers, guards, gates, electronic surveillance, physical authentication mechanisms, reception desks, and security patrols) implemented for all areas housing sensitive data and information systems?",Yes
DCS-03.1,Do you have a capability to use system geographic location as an authentication factor? Do you support other authentication factors such as IP whitelisting?,Yes
DCS-03.2,Is automated equipment identification used as a method to validate connection authentication integrity based on known equipment location?,No
DCS-04.1,"Is authorization obtained prior to relocation or transfer of hardware, software, or data to an offsite premises?",No
DCS-05.1,Can you provide tenants with your asset management policies and procedures?,Yes
DCS-06.1,"Can you provide evidence that policies, standards, and procedures have been established for maintaining a safe and secure working environment in offices, rooms, facilities, and secure areas?",Yes
DCS-06.2,"Can you provide evidence that your personnel and involved third parties have been trained regarding your documented policies, standards, and procedures?",Yes
DCS-07.1,"Are physical access control mechanisms (e.g. CCTV cameras, ID cards, checkpoints) in place to secure, constrain and monitor egress and ingress points?",Yes
DCS-08.1,"Are ingress and egress points, such as service areas and other points where unauthorized personnel may enter the premises, monitored, controlled and isolated from data storage and process?",Yes
DCS-09.1,Do you restrict physical access to information assets and functions by users and support personnel? Encryption & Key ManagementCOLLAPSE,Yes
EKM-01.1,Do you have key management policies binding keys to identifiable owners?,Yes
EKM-02.1,Do you have a capability to allow creation of unique encryption keys per tenant?,No
EKM-02.2,Do you have a capability to manage encryption keys on behalf of tenants?,No
EKM-02.3,Do you maintain key management procedures?,Yes
EKM-02.4,Do you have documented ownership for each stage of the lifecycle of encryption keys?,Yes
EKM-02.5,Do you utilize any third party/open source/proprietary frameworks to manage encryption keys? What key generation/management solution do you use? Do you generate/upload/manage your own keys? How are they accessed? How often are they rotated?,No
EKM-03.1,"Do you encrypt tenant data at rest (on disk/storage) within your environment? If yes, what encryption algorithm is used? (e.g. AES-256)? Is Bayer data encrypted with its own key?",Yes
EKM-03.2,Do you leverage encryption to protect data and virtual machine images during transport across and between networks and hypervisor instances?,No
EKM-03.3,"Do you have documentation establishing and defining your encryption management policies, procedures, and guidelines?",Yes
EKM-04.1,Do you have platform and data appropriate encryption that uses open/validated formats and standard algorithms?,Yes
EKM-04.2,Are your encryption keys maintained by the cloud consumer or a trusted key management provider? Please describe how you keys are managed/maintained,No
EKM-04.3,Do you store encryption keys in the cloud? Please describe where/how you store your keys,No
EKM-04.4,Do you have separate key management and key usage duties? Governance and Risk ManagementCOLLAPSE,No
GRM-01.1,"Do you have documented information security baselines for every component of your infrastructure (e.g., hypervisors, operating systems, routers, DNS servers, etc.)? Are the admin consoles hardened? Where will application be used? Mobile, external laptops?",Yes
GRM-01.2,Do you have the capability to continuously monitor and report the compliance of your infrastructure against your information security baselines? Please describe your monitoring and reporting process,Yes
GRM-02.1,"Does your organization's risk assessments take into account awareness of data residency, legal and statutory requirements for retention periods and data protection and classification?",No
GRM-02.2,Do you conduct risk assessments associated with data governance requirements at least once a year?,No
GRM-03.1,"Are your technical, business, and executive managers responsible for maintaining awareness of and compliance with security policies, procedures, and standards for both themselves and their employees as they pertain to the manager and employees' area of responsibility?",Yes
GRM-04.1,Do you provide tenants with documentation describing your Information Security Management Program (ISMP)?,Yes
GRM-04.2,Do you review your Information Security Management Program (ISMP) at least once a year?,Yes
GRM-05.1,"Do executive and line management take formal action to support information security through clearly-documented direction and commitment, and ensure the action has been assigned?",Yes
GRM-06.1,"Are your information security policies and procedures made available to all impacted personnel and business partners, authorized by accountable business role/function and supported by the information security management program as per industry best practices (e.g. ISO 27001, SOC 2)?",No
GRM-06.2,Are information security policies authorized by the organization's business leadership (or other accountable business role or function) and supported by a strategic business plan and an information security management program inclusive of defined information security roles and responsibilities for business leadership?,Yes
GRM-06.3,Do you have agreements to ensure your providers adhere to your information security and privacy policies?,Yes
GRM-06.4,"Can you provide evidence of due diligence mapping of your controls, architecture, and processes to regulations and/or standards?",Yes
GRM-06.5,"Do you disclose which controls, standards, certifications, and/or regulations you comply with?",Yes
GRM-07.1,Is a formal disciplinary or sanction policy established for employees who have violated security policies and procedures?,Yes
GRM-07.2,Are employees made aware of what actions could be taken in the event of a violation via their policies and procedures?,Yes
GRM-08.1,"Do risk assessment results include updates to security policies, procedures, standards, and controls to ensure they remain relevant and effective?",Yes
GRM-09.1,Do you notify your tenants when you make material changes to your information security and/or privacy policies?,Yes
GRM-09.2,"Do you perform, at minimum, annual reviews to your privacy and security policies?",Yes
GRM-10.1,"Are formal risk assessments aligned with the enterprise-wide framework and performed at least annually, or at planned intervals, determining the likelihood and impact of all identified risks, using qualitative and quantitative methods?",No
GRM-10.2,"Is the likelihood and impact associated with inherent and residual risk determined independently, considering all risk categories?",No
GRM-11.1,"Do you have a documented, organization-wide program in place to manage risk?",Yes
GRM-11.2,Do you make available documentation of your organization-wide risk management program? Human ResourcesCOLLAPSE,Yes
HRS-01.1,"Upon termination of contract or business relationship, are employees and business partners adequately informed of their obligations for returning organizationally-owned assets?",No
HRS-01.2,Do you have asset return procedures outlining how assets should be returned within an established period?,Yes
HRS-02.1,"Pursuant to local laws, regulations, ethics, and contractual constraints, are all employment candidates, contractors, and involved third parties subject to background verification? Do you check official identity documents such as passports, ID cards, licenses, etc. of individuals that have access to Bayer data? Please describe",No
HRS-03.1,Do your employment agreements incorporate provisions and/or terms in adherence to established information governance and security policies?,Yes
HRS-03.2,"Do you require that employment agreements are signed by newly hired or on-boarded workforce personnel prior to granting workforce personnel user access to corporate facilities, resources, and assets?",Yes
HRS-04.1,"Are documented policies, procedures, and guidelines in place to govern change in employment and/or termination?",Yes
HRS-04.2,Do the above procedures and guidelines account for timely revocation of access and return of assets?,Yes
HRS-05.1,"Are policies and procedures established and measures implemented to strictly limit access to your sensitive data and tenant data from portable and mobile devices (e.g., laptops, cell phones, and personal digital assistants (PDAs)), which are generally higher-risk than non-portable devices (e.g., desktop computers at the provider organization’s facilities)?",Yes
HRS-06.1,"Are requirements for non-disclosure or confidentiality agreements reflecting the organization's needs for the protection of data and operational details identified, documented, and reviewed at planned intervals?",Yes
HRS-07.1,Do you provide tenants with a role definition document clarifying your administrative responsibilities versus those of the tenant?,Yes
HRS-08.1,Do you have policies and procedures in place to define allowances and conditions for permitting usage of organizationally-owned or managed user end-point devices and IT infrastructure network and systems components?,Yes
HRS-08.2,Do you define allowance and conditions for BYOD devices and its applications to access corporate resources?,No
HRS-09.1,"Do you provide a formal, role-based, security awareness training program for cloud-related access and data management issues (e.g., multi-tenancy, nationality, cloud delivery model, segregation of duties implications, and conflicts of interest) for all persons with access to tenant data?",Yes
HRS-09.2,Do you specifically train your employees regarding their specific role and the information security controls they must fulfill?,No
HRS-09.3,Do you document employee acknowledgment of training they have completed?,Yes
HRS-09.4,Is successful and timed completion of the training program(s) considered a prerequisite for acquiring and maintaining access to sensitive systems?,Yes
HRS-09.5,Are personnel trained and provided with awareness programs at least once a year?,No
HRS-09.6,Are administrators and data stewards properly educated on their legal responsibilities with regard to security and data integrity?,No
HRS-10.1,"Are personnel informed of their responsibilities for maintaining awareness and compliance with published security policies, procedures, standards, and applicable regulatory requirements?",Yes
HRS-10.2,Are personnel informed of their responsibilities for maintaining a safe and secure working environment?,No
HRS-10.3,Are personnel informed of their responsibilities for ensuring that equipment is secured and not left unattended?,No
HRS-11.1,Are all computers and laptops configured such that there is lockout screen after a pre-defined amount of time?,No
HRS-11.2,"Are there policies and procedures to ensure that unattended workspaces do not have openly visible (e.g., on a desktop) sensitive documents? Identity & Access ManagementCOLLAPSE",Yes
IAM-01.1,"Do you restrict, log, and monitor access to your information security management systems (e.g., hypervisors, firewalls, vulnerability scanners, network sniffers, APIs, etc.)? Do you use Privileged Access Management tools like CyberArk or a jump server to monitor privileged access? If not, how are administrative activities tracked and monitored? How do you ensure admins and other employees aren't extracting customer data from your environment? Can anyone place information on a usb, send through email, etc.? Do you have a DLP solution? If so, what solution?",No
IAM-01.2,"Do you monitor and log privileged access (e.g., administrator level) to information security management systems? Please describe this process Can you connect the application to the Bayer SIEM infrastructure?",No
IAM-02.1,"Do you have controls in place ensuring timely removal of systems access that is no longer required for business purposes? If yes, what is the timing? Does Bayer get admin accounts where they can create roles and give access to other Bayer users? Is Bayer able to see user activity logs within the application? Example: user logins, access to data, change of data, change to user permission, admin activities? If not, is this activity something that can be exported to Bayer on a frequent basis?",No
IAM-02.2,"Do you have policies, procedures and technical measures in place to ensure appropriate data/assets access management in adherence to legal, statutory or regulatory compliance requirements?",Yes
IAM-02.3,Do you have procedures and technical measures in place for user account entitlement de-/provisioning based on the rule of least privilege?,Yes
IAM-02.4,Do you have procedures and technical measures in place for data access segmentation in multi-tenant system architectures?,Yes
IAM-02.5,"Do you enforce data access permissions based on the rules of Authentication, Authorization and Accountability (AAA)?",No
IAM-02.6,"Do your policies and procedures incorporate security controls for establishing higher levels of assurance for critical business case considerations, supported by multifactor authentication?",No
IAM-02.7,Do you provide metrics to track the speed with which you are able to remove systems access that is no longer required for business purposes?,Yes
IAM-03.1,Is user access to diagnostic and configuration ports restricted to authorized individuals and applications? Note - We need to understand how admins are accessing network,No
IAM-04.1,"Do you manage and store the identity of all personnel who have access to the IT infrastructure, including their level of access? If yes, how often is this reviewed?",Yes
IAM-04.2,"Do you manage and store the user identity of all personnel who have network access, including their level of access? If yes, how often is this reviewed?",Yes
IAM-05.1,Do you provide tenants with documentation on how you maintain segregation of duties within your cloud service offering? Note - Need to understand how segregation of duties and principle of least privilege is enforced.,Yes
IAM-06.1,"Are controls in place to prevent unauthorized access to your application, program, or object source code, and assure it is restricted to authorized personnel only? Please explain. (i.e. segregation of duties, least privilege, etc.)",Yes
IAM-06.2,"Are controls in place to prevent unauthorized access to tenant application, program, or object source code, and assure it is restricted to authorized personnel only? Please describe the controls",Yes
IAM-07.1,Does your organization conduct third-party unauthorized access risk assessments?,Yes
IAM-07.2,"Are preventive, detective corrective compensating controls in place to mitigate impacts of unauthorized or inappropraite access?",No
IAM-08.1,"Do you document how you grant, approve and enforce access restrictions to tenant/customer credentials following the rules of least privilege? Please describe this process Note - Bayer Business may also need to provide context for this item",Yes
IAM-08.2,"Based on the rules of least privilege, do you have policies and procedures established for permissible storage and access of identities used for authentication?",Yes
IAM-08.3,Do you limit identities' replication only to users explicitly defined as business necessary?,No
IAM-09.1,"Does your management provision the authorization and restrictions for user access (e.g., employees, contractors, customers (tenants), business partners, and/or suppliers) prior to their access to data and any owned or managed (physical and virtual) applications, infrastructure systems, and network components? Do users have the ability to raise their own privilege? Note - Need to understand if/how Bayer will manage user access and authorization*",No
IAM-09.2,"Do you provide upon the request of users with legitimate interest access (e.g., employees, contractors, customers (tenants), business partners and/or suppliers) to data and any owned or managed (physical and virtual) applications, infrastructure systems and network components?",Yes
IAM-10.1,"Do you require a periodical authorization and validation (e.g. at least annually) of the entitlements for all system users and administrators (exclusive of users maintained by your tenants), based on the rule of least privilege, by business leadership or other accountable business role or function? If yes, how often is this reviewed? How many admins have access to Bayer data? Will Bayer be notified of when access is given to a new admin? How many admins at your hosting provider will be able to access Bayer data? Note - Need to understand how Bayer will manage user access and authorization",Yes
IAM-10.2,Do you collect evidence to demonstrate that the policy (see question IAM-10.1) has been enforced?,Yes
IAM-10.3,Do you ensure that remediation actions for access violations follow user access policies?,Yes
IAM-10.4,"Will you share user entitlement and remediation reports with your tenants, if inappropriate access may have been allowed to tenant data?",Yes
IAM-11.1,"Is timely deprovisioning, revocation, or modification of user access to the organizations systems, information assets, and data implemented upon any change in status of employees, contractors, customers, business partners, or involved third parties?",Yes
IAM-11.2,"Is any change in user access status intended to include termination of employment, contract or agreement, change of employment or transfer within the organization?",Yes
IAM-12.1,"Do you support use of, or integration with, existing customer-based Single Sign On (SSO) solutions to your service?",No
IAM-12.2,Do you use open standards to delegate authentication capabilities to your tenants?,Yes
IAM-12.3,"Do you support identity federation standards (e.g., SAML, SPML, WS-Federation, etc.) as a means of authenticating/authorizing users? If yes, do you support SAML 2.0? If you do not support SAML 2.0 what hash algorithm is used for password storage?",No
IAM-12.4,"Do you have a Policy Enforcement Point capability (e.g., XACML) to enforce regional legal and policy constraints on user access?",No
IAM-12.5,Do you have an identity management system (enabling classification of data for a tenant) in place to enable both role-based and context-based entitlement to data?,No
IAM-12.6,"Do you provide tenants with strong (multifactor) authentication options (e.g., digital certs, tokens, biometrics, etc.) for user access? Is Two Factor Authentication for privileged access/infrastructure access enabled for administrators? If so, what methods?",No
IAM-12.7,Do you allow tenants to use third-party identity assurance services?,No
IAM-12.8,"Do you support password (e.g., minimum length, age, history, complexity) and account lockout (e.g., lockout threshold, lockout duration) policy enforcement? Please provide your password policy",Yes
IAM-12.9,Do you allow tenants/customers to define password and account lockout policies for their accounts?,No
IAM-12.10,Do you support the ability to force password changes upon first logon?,No
IAM-12.11,"Do you have mechanisms in place for unlocking accounts that have been locked out (e.g., self-service via email, defined challenge questions, manual unlock)?",No
IAM-13.1,"Are access to utility programs used to manage virtualized partitions (e.g. shutdown, clone, etc) appropriately restricted and monitored? Infrastructure & Virtualization SecurityCOLLAPSE",Yes
IVS-01.1,"Are file integrity (host) and network intrusion detection (IDS) tools implemented to help facilitate timely detection, investigation by root cause analysis, and response to incidents? Please describe. What tools are used?",Yes
IVS-01.2,Is physical and logical user access to audit logs restricted to authorized personnel?,No
IVS-01.3,Can you provide evidence that due diligence mapping of regulations and standards to your controls/architecture/processes has been performed?,Yes
IVS-01.4,Are audit logs centrally stored and retained?,No
IVS-01.5,"Are audit logs reviewed on a regular basis for security events (e.g., with automated tools)? If yes, how often? Please explain. Are there certain users who have the capability/ability to modify logs like users with elevated privileges? What controls are in place to detect this type of tampering?",Yes
IVS-02.1,"Do you log and alert any changes made to virtual machine images regardless of their running state (e.g., dormant, off or running)?",Yes
IVS-02.2,Does the virtual machine management infrastructure include a tamper audit or software integrity function to detect changes to the build/configuration of the virtual machine? Please describe,No
IVS-02.3,"Are changes made to virtual machines, or moving of an image and subsequent validation of the image's integrity, made immediately available to customers through electronic methods (e.g., portals or alerts)?",No
IVS-03.1,"Do you use a synchronized time-service protocol (e.g., NTP) to ensure all systems have a common time reference?",Yes
IVS-04.1,"Do you provide documentation regarding what levels of system (e.g., network, storage, memory, I/O, etc.) oversubscription you maintain and under what circumstances/scenarios?",Yes
IVS-04.2,Do you restrict use of the memory oversubscription capabilities present in the hypervisor?,Yes
IVS-04.3,"Does your system's capacity requirements take into account current, projected, and anticipated capacity needs for all systems used to provide services to the tenants?",Yes
IVS-04.4,"Is system performance monitored and tuned in order to continuously meet regulatory, contractual, and business requirements for all the systems used to provide services to the tenants?",Yes
IVS-05.1,"Do security vulnerability assessment tools or services accommodate the virtualization technologies being used (e.g., virtualization aware)? If yes, what tools are used?",No
IVS-06.1,"For your IaaS offering, do you provide customers with guidance on how to create a layered security architecture equivalence using your virtualized solution?",Yes
IVS-06.2,Do you regularly update network architecture diagrams that include data flows between security domains/zones?,No
IVS-06.3,"Do you regularly review for appropriateness the allowed access/connectivity (e.g., firewall rules) between security domains/zones within the network?",Yes
IVS-06.4,Are all firewall access control lists documented with business justification?,Yes
IVS-07.1,"Are operating systems hardened to provide only the necessary ports, protocols, and services to meet business needs using technical controls (e.g., antivirus, file integrity monitoring, and logging) as part of their baseline build standard or template? If yes, do you have hardening guideline/detail documentation? If so, can you provide? What ports are open? What OS and version are you utilizing? When hardening the environment do you: - No installation of unnecessary components - Deactivation of not needed programs, services, commands - Restrict and control usage of privileged programs - Have security controls for system-tools - Restrict use of file shares (and the like) - Conduct regular security checks",Yes
IVS-08.1,"For your SaaS or PaaS offering, do you provide tenants with separate environments for production and test processes?",Yes
IVS-08.2,"For your IaaS offering, do you provide tenants with guidance on how to create suitable production and test environments?",Yes
IVS-08.3,Do you logically and physically segregate production and non-production environments?,Yes
IVS-09.1,"Are system and network environments protected by a firewall or virtual firewall to ensure business and customer security requirements? Do you review firewall settings? If so, how frequently? Do you have a 'deny all' default setting and then open up ports only as needed?",Yes
IVS-09.2,"Are system and network environments protected by a firewall or virtual firewall to ensure compliance with legal, regulatory and contractual requirements?",Yes
IVS-09.3,"Have you implemented the necessary measures for the appropriate isolation and segmentation of tenants' access to infrastructure system and network components, in adherence to established policies, legal, statutory, and regulatory compliance obligations?",Yes
IVS-09.4,"Do you have the ability to logically segment or encrypt customer data such that data may be produced for a single tenant only, without inadvertently accessing another tenant's data? How is Bayer data stored? In its own database, own VPC? Or is it a shared database? What kind of database is used? What is the current version?",Yes
IVS-09.5,Are system and network environments protected by a firewall or virtual firewall to ensure protection and isolation of sensitive data?,Yes
IVS-10.1,"Are secured and encrypted communication channels used when migrating physical servers, applications, or data to virtual servers?",No
IVS-10.2,"Do you use a network segregated from production-level networks when migrating physical servers, applications, or data to virtual servers?",No
IVS-11.1,"Do you restrict personnel access to all hypervisor management functions or administrative consoles for systems hosting virtualized systems based on the principle of least privilege and supported through technical controls (e.g., two-factor authentication, audit trails, IP address filtering, firewalls and TLS-encapsulated communications to the administrative consoles)?",Yes
IVS-12.1,Are policies and procedures established and mechanisms configured and implemented to protect the wireless network environment perimeter and to restrict unauthorized wireless traffic?,Yes
IVS-12.2,"Are policies and procedures established and mechanisms implemented to ensure wireless security settings are enabled with strong encryption for authentication and transmission, replacing vendor default settings (e.g., encryption keys, passwords, SNMP community strings)?",Yes
IVS-12.3,Are policies and procedures established and mechanisms implemented to protect wireless network environments and detect the presence of unauthorized (rogue) network devices for a timely disconnect from the network?,Yes
IVS-13.1,Do your network architecture diagrams clearly identify high-risk environments and data flows that may have legal compliance impacts? Please provide a detailed network architecture diagram,Yes
IVS-13.2,"Do you implement technical measures and apply defense-in-depth techniques (e.g., deep packet analysis, traffic throttling and black-holing) for detection and timely response to network-based attacks associated with anomalous ingress or egress traffic patterns (e.g., MAC spoofing and ARP poisoning attacks) and/or distributed denial-of-service (DDoS) attacks? Interoperability & PortabilityCOLLAPSE",No
IPY-01.1,Do you publish a list of all APIs available in the service and indicate which are standard and which are customized?,Yes
IPY-02.1,"Is unstructured customer data available on request in an industry-standard format (e.g., .doc, .xls, or .pdf)?",Yes
IPY-03.1,Do you provide policies and procedures (i.e. service level agreements) governing the use of APIs for interoperability between your service and third-party applications?,Yes
IPY-03.2,"If using virtual infrastructure, do you allow virtual machine images to be downloaded and ported to a new cloud provider?",No
IPY-03.3,Do you provide policies and procedures (i.e. service level agreements) governing the migration of application data to and from your service?,Yes
IPY-04.1,"Is data import, data export, and service management be conducted over secure (e.g., non-clear text and authenticated), industry accepted standardized network protocols?",No
IPY-04.2,Do you provide consumers (tenants) with documentation detailing the relevant interoperability and portability network protocol standards that are involved?,Yes
IPY-05.1,"Do you use an industry-recognized virtualization platform and standard virtualization formats (e.g., OVF) to help ensure interoperability?",Yes
IPY-05.2,"If using virtual infrastructure, are machine images made available to the customer in a way that would allow the customer to replicate those images in their own off-site storage location?",No
IPY-05.3,"Do you have documented custom changes made to any hypervisor in use, and all solution-specific virtualization hooks available for customer review? Mobile SecurityCOLLAPSE",Yes
MOS-01.1,Do you provide anti-malware training specific to mobile devices as part of your information security awareness training?,Yes
