ID,Question,Response (Yes/No),Comment
STA-05.10,"Are systems in place to monitor for privacy breaches and notify tenants expeditiously if a privacy event may have impacted their data?

How quickly are tenants notified?",,
STA-05.11,"Do you allow tenants to opt out of having their data/metadata accessed via inspection technologies?

Please describe this process If metadata is collected, what type of data is it and how is it used?",,
STA-05.12,Do you provide the client with a list and copies of all subprocessing agreements and keep this updated?,,
STA-06.1,Do you review the risk management and governance processes of partners to account for risks inherited from other members of that partner's supply chain?,,
STA-07.1,"Are policies and procedures established, and supporting business processes and technical measures implemented, for maintaining complete, accurate, and relevant agreements (e.g., SLAs) between providers and customers (tenants)?",,
STA-07.2,Do you have the ability to measure and address non-conformance of provisions and/or terms across the entire supply chain (upstream/downstream)?,,
STA-07.3,Can you manage service-level conflicts or inconsistencies resulting from disparate supplier relationships?,,
STA-07.4,Do you provide tenants with ongoing visibility and reporting of your operational Service Level Agreement (SLA) performance?,,
STA-07.5,"Do you make standards-based information security metrics (CSA, CAMM, etc.) available to your tenants?

If yes, please specify which metrics",,
STA-07.6,Do you provide customers with ongoing visibility and reporting of your SLA performance?,,
STA-07.7,Do your data management policies and procedures address tenant and service level conflicts of interests?,,
STA-07.8,Do you review all service level agreements at least annually?,,
STA-08.1,"Do you assure reasonable information security across your information supply chain by performing an annual review?

Do you have any contractual obligations with providers to ensure security requirements are met?",,
STA-08.2,Does your annual review include all partners/third-party providers upon which your information supply chain depends?,,
STA-09.1,"Do you mandate annual information security reviews and audits of your third party providers to ensure that all agreed upon security requirements are met?

Please describe this process",,
STA-09.2,"Do you have external third party services conduct vulnerability scans and periodic penetration tests on your applications and networks?

What tools are used? Can you provide results?


Threat and Vulnerability ManagementCOLLAPSE",,
TVM-01.1,"Do you have anti-malware programs that support or connect to your cloud service offerings installed on all of your IT infrastructure network and systems components?

What tools are used?",,
TVM-01.2,"Do you ensure that security threat detection systems using signatures, lists, or behavioral patterns are updated across all infrastructure components as prescribed by industry best practices?

What tools are used?",,
TVM-02.1,Do you conduct network-layer vulnerability scans regularly as prescribed by industry best practices?,,
TVM-02.2,Do you conduct application-layer vulnerability scans regularly as prescribed by industry best practices?,,
TVM-02.3,Do you conduct local operating system-layer vulnerability scans regularly as prescribed by industry best practices?,,
TVM-02.4,Will you make the results of vulnerability scans available to tenants at their request?,,
TVM-02.5,"Do you have a capability to patch vulnerabilities across all of your computing devices, applications, and systems?

Please specify your patching timeframes for Critical/High/Medium findings.",,
TVM-02.6,Do you inform customers (tenant) of policies and procedures and identified weaknesses if customer (tenant) data is used as part the service and/or customer (tenant) has some shared responsibility over implementation of control?,,
TVM-03.1,"Is mobile code authorized before its installation and use, and the code configuration checked, to ensure that the authorized mobile code operates according to a clearly defined security policy?",,
TVM-03.2,Is all unauthorized mobile code prevented from executing?,,
