Question ID,Question Text,Response,Comment,Supported
AIS-01.1,"Do you use industry standards (i.e. OWASP Software Assurance Maturity Model, ISO 27034) to build in security for your Systems/Software Development Lifecycle (SDLC)",Yes,"IBP follows OWASP Software Assurance Maturity Model and ISO 27034 principles as documented in the Technology and Infrastructure Security Policy. The SDLC security framework includes threat modeling for new features, secure coding standards for Java/Spring/MySQL applications, and security testing integration with OWASP ZAP for dynamic testing and SonarQube for static analysis.",High
AIS-01.2,Do you use an automated source code analysis tool to detect security defects in code prior to production,Yes,"IBP implements SonarQube for automated static code analysis as part of the CI/CD pipeline, as specified in the Technology and Infrastructure Security Policy. The system performs security-focused code reviews with dependency scanning for vulnerable components and secret scanning to prevent credential commits before production deployment.",High
AIS-01.3,Do you use manual source-code analysis to detect security defects in code prior to production,Yes,"IBP requires peer security-focused code reviews for all changes as documented in the Technology and Infrastructure Security Policy. All code changes undergo manual review using security checklists covering input validation, SQL injection prevention, authentication, and authorization controls before production release.",High
AIS-01.4,Do you verify that all of your software suppliers adhere to industry standards for Systems/Software Development Lifecycle (SDLC) security,Yes,"The Vendor and Third Party Management Policy requires security assessments of all software vendors, including review of their SDLC security practices. Critical vendors must provide evidence of secure development practices, security certifications (ISO 27001, SOC 2), and undergo annual security reviews to ensure continued adherence to security standards.",High
AIS-01.5,(SaaS only) Do you review your applications for security vulnerabilities and address any issues prior to deployment to production,Yes,"IBP implements comprehensive security testing including automated OWASP ZAP dynamic scanning, vulnerability scanning in CI/CD pipelines, and manual penetration testing as documented in the Technology and Infrastructure Security Policy. Recent security improvements include OTP implementation, password reset token security, and enumeration resistance controls. AWS Inspector provides automated EC2 and container scanning.",High
AIS-02.1,"Are all identified security, contractual, and regulatory requirements for customer access contractually addressed and remediated prior to granting customers access to data, assets, and information systems",Yes,The Access Control and Identity Management Policy requires manager approval for all access requests with documented business justification. Customer access requirements are evaluated through risk assessment and implemented via role-based access controls with MFA enforcement. All access is governed by contractual obligations as managed through the Vendor and Third Party Management Policy.,High
AIS-02.2,Are all requirements and trust levels for customers' access defined and documented,Yes,"IBP maintains a two-tier access model (Standard and Administrative) as documented in the Access Control and Identity Management Policy. Access levels are clearly defined with specific permissions, MFA requirements, and review frequencies. Customer access requirements are documented with appropriate authentication methods and session management controls.",High
AIS-03.1,Does your data management policies and procedures require audits to verify data input and output integrity routines,Yes,"The Data Protection and Privacy Policy includes comprehensive data quality management with accuracy monitoring (>99% target), completeness checks (<1% missing values), and consistency verification across systems. Regular audits verify data input validation and output integrity through automated quality assessments and manual verification procedures.",High
AIS-03.2,Are data input and output integrity routines (i.e. MD5/SHA checksums) implemented for application interfaces and databases to prevent manual or systematic processing errors or corruption of data,Yes,"IBP implements comprehensive data validation controls as specified in the Technology and Infrastructure Security Policy. Input validation is enforced through Spring Validation, database integrity is maintained through parameterized queries, and AWS services provide built-in checksums for S3 storage and RDS transactions to ensure data integrity across all interfaces.",High
AIS-04.1,"Is your Data Security Architecture designed using an industry standard (e.g., CDSA, MULITSAFE, CSA Trusted Cloud Architectural Standard, FedRAMP, CAESARS)",Yes,"IBP's data security architecture follows AWS Well-Architected Framework security principles and aligns with CSA Trusted Cloud Architectural Standards as documented in the Technology and Infrastructure Security Policy. The architecture implements defense-in-depth with VPC isolation, security groups, encryption at rest and in transit, and comprehensive logging and monitoring.",High
BCR-01.1,Does your organization have a plan or framework for business continuity management or disaster recovery management,Yes,"IBP maintains comprehensive business continuity and disaster recovery plans as documented in the Incident Response and Business Continuity Policy. The framework includes multi-AZ AWS deployment, automated failover capabilities, cross-region backup replication, and defined Recovery Time Objectives (RTO: <4 hours) and Recovery Point Objectives (RPO: <1 hour).",High
BCR-01.2,Do you have more than one provider for each service you depend on,No,"As a cloud-native organization, IBP primarily relies on AWS services for infrastructure. However, we implement redundancy through multi-AZ deployment, multiple AWS regions (eu-west-1 primary, eu-central-1 secondary), and diverse service endpoints. For critical business functions, we maintain relationships with alternative providers (Google Workspace for business applications) as documented in our Vendor Management Policy.",Low
BCR-01.3,Do you provide a disaster recovery capability,Yes,"IBP provides comprehensive disaster recovery with automated RDS Multi-AZ failover (<1 hour RTO), cross-region S3 replication (<15 minutes RPO), and Infrastructure-as-Code rapid redeployment capabilities as specified in the Incident Response and Business Continuity Policy. Disaster recovery procedures are tested monthly with annual full DR exercises.",High
BCR-01.4,Do you monitor service continuity with upstream providers in the event of provider failure,Yes,"The Incident Response and Business Continuity Policy includes monitoring of critical vendor services through automated health checks, AWS Service Health Dashboard monitoring, and vendor SLA tracking. We maintain documented escalation procedures and alternative service activation plans for upstream provider failures.",High
BCR-01.5,"Do you provide access to operational redundancy reports, including the services you rely on",Yes,"IBP provides customers with operational redundancy documentation as outlined in our Business Continuity Policy, including multi-AZ deployment architecture, backup strategies, and vendor dependency mapping. Monthly operational reports include availability metrics, backup success rates, and redundancy verification testing results.",High
BCR-01.6,Do you provide a tenant-triggered failover option,No,"Current architecture uses automated failover rather than tenant-triggered options. Multi-AZ RDS provides automatic database failover, and Route 53 health checks enable automatic DNS failover. For a small team operation, automated failover provides more reliable service restoration than manual triggers. We can implement tenant-triggered failover capabilities if required by specific customer agreements.",Low
BCR-01.7,Do you share your business continuity and redundancy plans with your tenants,Yes,"The Incident Response and Business Continuity Policy provides for sharing business continuity documentation with customers under appropriate confidentiality agreements. We provide architecture diagrams, RTO/RPO targets, redundancy descriptions, and communication procedures while protecting sensitive operational details.",High
BCR-02.1,Are business continuity plans subject to testing at planned intervals or upon significant organizational or environmental changes to ensure continuing effectiveness,Yes,"IBP conducts monthly backup restoration testing, quarterly tabletop exercises, and annual full disaster recovery tests as documented in the Incident Response and Business Continuity Policy. Plans are updated following any significant infrastructure changes, and test results are documented with improvement actions tracked to completion.",High
BCR-03.1,"Does your organization adhere to any international or industry standards when it comes to securing, monitoring, maintaining and testing of datacenter utilities services and environmental conditions",Yes,"IBP leverages AWS data center facilities that maintain SOC 1/2/3 compliance, ISO 27001 certification, and comprehensive physical security as verified through AWS compliance documentation. Our Technology and Infrastructure Security Policy references AWS physical security validation and environmental controls including redundant power, cooling, and fire suppression systems.",High
BCR-03.2,"Has your organization implemented environmental controls, fail-over mechanisms or other redundancies to secure utility services and mitigate environmental conditions",Yes,"Through AWS infrastructure, IBP benefits from enterprise-grade environmental controls including redundant power systems, UPS backup, emergency generators, and multi-AZ deployment for utility service redundancy. AWS data centers provide 24/7 environmental monitoring with automated failover as documented in our Technology and Infrastructure Security Policy.",High
BCR-04.1,"Are information system documents (e.g., administrator and user guides, architecture diagrams, etc.) made available to authorized personnel to ensure configuration, installation and operation of the information system",Yes,"The Technology and Infrastructure Security Policy requires comprehensive documentation including system architecture diagrams, configuration standards, and operational procedures. All documentation is maintained in Confluence with version control, and access is provided to authorized personnel based on role requirements and business need.",High
BCR-05.1,Is physical damage anticipated and are countermeasures included in the design of physical protections,Yes,"IBP leverages AWS data center physical security including multi-layered perimeter security, environmental protections, and disaster resilience as documented in our Technology and Infrastructure Security Policy. AWS facilities include fire suppression, flood protection, and seismic considerations with geographic distribution across multiple availability zones for physical damage mitigation.",High
BCR-06.1,"Are any of your data centers located in places that have a high probability/occurrence of high-impact environmental risks (floods, tornadoes, earthquakes, hurricanes, etc.)",Yes,"IBP utilizes AWS eu-west-1 (Ireland) and eu-central-1 (Frankfurt) regions which have relatively low environmental risk profiles. AWS implements comprehensive disaster resilience including seismic design, flood protection, and weather monitoring. Multi-AZ deployment and cross-region replication provide protection against localized environmental risks as documented in our Business Continuity Policy.",High
BCR-07.1,"Do you have documented policies, procedures and supporting business processes for equipment and datacenter maintenance",Yes,"Through AWS managed services, IBP benefits from comprehensive data center maintenance procedures including scheduled maintenance windows, redundant systems, and automated failover during maintenance as documented in our Technology and Infrastructure Security Policy. AWS provides maintenance notifications and service level guarantees for all managed services.",High
BCR-07.2,Do you have an equipment and datacenter maintenance routine or plan,Yes,"IBP leverages AWS managed maintenance including automated patching via Systems Manager, scheduled maintenance windows for RDS, and proactive hardware replacement as specified in the Technology and Infrastructure Security Policy. Our change management processes ensure maintenance activities are scheduled, communicated, and verified for successful completion.",High
BCR-08.1,"Are security mechanisms and redundancies implemented to protect equipment from utility service outages (e.g., power failures, network disruptions, etc.)",Yes,"AWS infrastructure provides comprehensive utility protection including UPS systems, emergency generators, redundant power feeds, and multi-AZ deployment for network redundancy. The Technology and Infrastructure Security Policy documents our reliance on AWS enterprise-grade utility protection with 99.99% availability SLA guarantees.",High
BCR-09.1,"Do you use industry standards and frameworks to determine the impact of any disruption to your organization (i.e. criticality of services and recovery priorities, disruption tolerance, RPO and RTO etc)",Yes,"IBP follows industry standard business impact analysis methodologies as documented in the Incident Response and Business Continuity Policy. Critical services are classified with defined RTO/RPO targets: BMS Application (4 hours RTO, 1 hour RPO), Database (<1 hour RTO, 15 minutes RPO), and supporting systems with appropriate recovery priorities.",High
BCR-09.2,Does your organization conduct impact analysis pertaining to possible disruptions to the cloud service,Yes,"The Incident Response and Business Continuity Policy includes comprehensive impact analysis for various disruption scenarios including AWS region failure, cyber attacks, vendor service failures, and personnel unavailability. Impact levels are classified (Critical, High, Medium, Low) with corresponding response procedures and recovery strategies.",High
BCR-10.1,Are policies and procedures established and made available for all personnel to adequately support services operations' roles,Yes,"All operational procedures are documented and accessible through Confluence as specified in the Remote Work Security Policy. Personnel receive role-specific training on security procedures, incident response, and operational responsibilities with documented competency requirements and regular updates for policy changes.",High
BCR-11.1,Do you have technical capabilities to enforce tenant data retention policies,Yes,"The Data Protection and Privacy Policy establishes comprehensive data retention schedules with technical enforcement through automated lifecycle management for S3 data, RDS backup retention policies, and automated deletion procedures. Retention policies can be configured per customer requirements with audit trails for compliance demonstration.",High
BCR-11.2,"Do you have documented policies and procedures demonstrating adherence to data retention periods as per legal, statutory or regulatory compliance requirements",Yes,"IBP maintains detailed data retention schedules as documented in the Data Protection and Privacy Policy, covering breeding data (7-10 years), personal data (3-7 years), and operational data (1-7 years) based on regulatory requirements including GDPR. Retention procedures include secure deletion, audit trails, and compliance verification.",High
BCR-11.3,"Have you implemented backup or recovery mechanisms to ensure compliance with regulatory, statutory, contractual or business requirements",Yes,"IBP implements comprehensive AWS-native backup strategies including daily automated RDS backups with 7-day retention, cross-region S3 replication, and point-in-time recovery capabilities as documented in the Incident Response and Business Continuity Policy. All backups are encrypted with AES-256 and tested monthly for successful restoration.",High
BCR-11.4,"If using virtual infrastructure, does your cloud solution include independent hardware restore and recovery capabilities",Yes,"AWS provides independent hardware recovery through multi-AZ deployment, automated instance replacement, and cross-region replication capabilities. Our Technology and Infrastructure Security Policy documents infrastructure-as-code deployment enabling rapid hardware-independent recovery using CloudFormation templates and automated deployment pipelines.",High
BCR-11.5,"If using virtual infrastructure, do you provide tenants with a capability to restore a virtual machine to a previous configuration",Yes,"IBP provides configuration restoration capabilities through EBS snapshots, AMI-based instance recovery, and infrastructure-as-code redeployment as documented in our Business Continuity Policy. Customers can request restoration to specific points in time through our support procedures with appropriate approval workflows.",High
BCR-11.6,Does your cloud solution include software/provider independent restore and recovery capabilities,Yes,"IBP maintains infrastructure-as-code templates and documented migration procedures that enable provider-independent recovery. Our Business Continuity Policy includes data export capabilities, standard format backups, and portable architecture designs that support migration to alternative cloud providers if required.",High
BCR-11.7,Do you test your backup or redundancy mechanisms at least annually,Yes,"IBP conducts monthly backup restoration testing, quarterly partial failover tests, and annual full disaster recovery exercises as specified in the Incident Response and Business Continuity Policy. All tests are documented with success criteria verification, and any issues identified are tracked through corrective action processes.",High
CCC-01.1,"Are policies and procedures established for management authorization for development or acquisition of new applications, systems, databases, infrastructure, services, operations and facilities",Yes,"The Technology and Infrastructure Security Policy requires manager approval for all infrastructure changes and new system acquisitions. The change management process includes business justification, security assessment, risk evaluation, and appropriate approval authority based on change type and impact level.",High
CCC-02.1,"Are policies and procedures for change management, release, and testing adequately communicated to external business partners",Yes,"The Vendor and Third Party Management Policy includes requirements for external partners to comply with change management procedures. Vendors receive change notification requirements, security standards, and testing procedures as part of contractual obligations with regular communication of updates and requirements.",High
CCC-02.2,Are policies and procedures adequately enforced to ensure external business partners comply with change management requirements,Yes,"The Vendor and Third Party Management Policy includes monitoring and compliance verification for vendor change management practices. Regular vendor assessments, contractual enforcement mechanisms, and security reviews ensure external partners adhere to our change management requirements with documented compliance tracking.",High
CCC-03.1,"Do you have a defined quality change control and testing process in place based on system availability, confidentiality, and integrity",Yes,"IBP implements a comprehensive change management process as documented in the Technology and Infrastructure Security Policy. Changes are categorized by risk level with appropriate testing requirements, from automated testing for standard changes to comprehensive testing for major changes, including security validation and rollback verification.",High
CCC-03.2,Is documentation describing known issues with certain products/services available,Yes,"The Technology and Infrastructure Security Policy requires documentation of system issues, known vulnerabilities, and workarounds. Issue tracking is maintained through our change management system with customer notifications for relevant issues and resolution timelines communicated through appropriate channels.",High
CCC-03.3,Are there policies and procedures in place to triage and remedy reported bugs and security vulnerabilities for product and service offerings,Yes,"IBP maintains vulnerability management procedures with defined response timeframes: Critical (24 hours), High (72 hours), Medium (7 days), Low (30 days) as specified in the Technology and Infrastructure Security Policy. Automated scanning, manual assessments, and customer-reported issues are triaged and tracked through completion.",High
CCC-03.4,Do you have controls in place to ensure that standards of quality are being met for all software development,Yes,"The Technology and Infrastructure Security Policy establishes software quality controls including secure coding standards, automated code analysis through SonarQube, peer code reviews with security checklists, and comprehensive testing requirements before production deployment. Quality metrics are tracked and reported regularly.",High
CCC-03.5,Do you have controls in place to detect source code security defects for any outsourced software development activities,Yes,"The Vendor and Third Party Management Policy requires security assessments of software vendors including review of their secure development practices, code analysis capabilities, and security testing procedures. All outsourced development must meet our security standards with verification through security assessments and code reviews.",High
CCC-03.6,Are mechanisms in place to ensure that all debugging and test code elements are removed from released software versions,Yes,"The Technology and Infrastructure Security Policy includes pre-production security validation requiring removal of debug code, test data, and development artifacts. Our CI/CD pipeline includes automated checks for development remnants, and manual code reviews verify clean production releases.",High
CCC-04.1,Do you have controls in place to restrict and monitor the installation of unauthorized software onto your systems,Yes,"IBP implements software installation controls through AWS Systems Manager, security-hardened AMIs with minimal installed software, and configuration management preventing unauthorized installations. The Technology and Infrastructure Security Policy requires approval for all software installations with monitoring through automated compliance checking.",Med
CCC-05.1,Do you provide tenants with documentation that describes your production change management procedures and their roles/rights/responsibilities within it,Yes,"The Technology and Infrastructure Security Policy includes customer communication procedures for production changes. Customers receive change notifications, maintenance windows, and impact assessments with clearly defined roles and escalation procedures for change-related issues.",High
CCC-05.2,Do you have policies and procedures established for managing risks with respect to change management in production environments,Yes,"IBP's change management process includes comprehensive risk assessment, testing requirements, rollback procedures, and monitoring protocols as documented in the Technology and Infrastructure Security Policy. Risk-based categorization determines approval requirements and testing depth for production changes.",High
CCC-05.3,"Do you have technical measures in place to ensure that changes in production environments are registered, authorized and in adherence with existing SLAs",Yes,"All production changes are tracked through automated deployment systems with approval workflows, SLA impact assessment, and monitoring verification as specified in the Technology and Infrastructure Security Policy. Changes are documented with authorization records and SLA compliance verification.",High
DCS-01.1,"Do you classify your assets in terms of business criticality, service-level expectations, and operational continuity requirements",Yes,"IBP maintains asset classification based on business criticality as documented in the Incident Response and Business Continuity Policy. Assets are categorized as Critical (BMS Application, Database), High (File Storage), and Medium (Analytics) with corresponding RTO/RPO targets and recovery priorities.",High
DCS-01.2,Do you maintain a complete inventory of all of your critical assets located at all sites/ or geographical locations and their assigned ownership,Yes,"The Technology and Infrastructure Security Policy requires comprehensive asset inventory management including AWS resources, applications, and data assets with assigned ownership, geographic location (EU regions), and criticality classification. Asset inventory is maintained through automated discovery and manual documentation with regular updates.",High
DCS-02.1,"Are physical security perimeters (e.g., fences, walls, barriers, guards, gates, electronic surveillance, physical authentication mechanisms, reception desks, and security patrols) implemented for all areas housing sensitive data and information systems",Yes,"IBP leverages AWS data center physical security including multi-layered perimeter security, biometric access controls, 24/7 guards, CCTV surveillance, and electronic access controls as verified through AWS SOC compliance reports. Our Technology and Infrastructure Security Policy references AWS physical security validation and monitoring.",High
DCS-03.1,Do you have a capability to use system geographic location as an authentication factor,Yes,"AWS provides geographic location authentication through IP address validation, VPC geographic restrictions, and location-based IAM policies. Our Access Control and Identity Management Policy can implement geographic authentication factors for enhanced security when required by specific customer security requirements.",High
DCS-03.2,Is automated equipment identification used as a method to validate connection authentication integrity based on known equipment location,Yes,"AWS provides automated instance identification through instance metadata, hardware attestation, and certificate-based authentication. Our Technology and Infrastructure Security Policy leverages AWS-native device identification and location validation for connection authentication integrity verification.",High
DCS-04.1,"Is authorization obtained prior to relocation or transfer of hardware, software, or data to an offsite premises",Yes,"The Technology and Infrastructure Security Policy requires management authorization for any data or system relocation. Cloud-native architecture minimizes physical hardware transfers, with data movement restricted to authorized AWS regions and controlled through IAM policies and change management procedures.",High
DCS-05.1,Can you provide tenants with your asset management policies and procedures,Yes,"IBP provides asset management documentation including inventory procedures, classification standards, and ownership assignments as documented in our Technology and Infrastructure Security Policy. Asset management policies are available to customers under appropriate confidentiality agreements with regular updates communicated as needed.",High
DCS-06.1,"Can you provide evidence that policies, standards, and procedures have been established for maintaining a safe and secure working environment in offices, rooms, facilities, and secure areas",Yes,"The Remote Work Security Policy establishes comprehensive workspace security requirements for our remote team including private work areas, secure equipment storage, physical security controls, and environmental protections. Documentation includes home office security standards and training materials for all team members.",High
DCS-06.2,"Can you provide evidence that your personnel and involved third parties have been trained regarding your documented policies, standards, and procedures",Yes,"IBP maintains comprehensive security training records as documented in the Remote Work Security Policy and Compliance and Audit Management Policy. Training includes annual security awareness, role-specific security training, and competency assessments with documented completion rates and effectiveness measurement.",High
DCS-07.1,"Are physical access control mechanisms (e.g. CCTV cameras, ID cards, checkpoints) in place to secure, constrain and monitor egress and ingress points",Yes,"Through AWS data centers, IBP benefits from enterprise-grade physical access controls including biometric authentication, RFID badges, multi-factor access controls, CCTV surveillance, and visitor escort procedures as documented in AWS SOC compliance reports and verified through our Technology and Infrastructure Security Policy.",High
DCS-08.1,"Are ingress and egress points, such as service areas and other points where unauthorized personnel may enter the premises, monitored, controlled and isolated from data storage and process",Yes,"AWS data centers provide comprehensive perimeter security with controlled ingress/egress points, service area isolation, visitor management, and separation of service areas from data processing facilities. Our Technology and Infrastructure Security Policy references AWS physical security validation and isolation procedures.",High
DCS-09.1,Do you restrict physical access to information assets and functions by users and support personnel,Yes,"Physical access is controlled through AWS data center security with role-based access, biometric authentication, and escort requirements for sensitive areas. Our Remote Work Security Policy addresses physical security for distributed team access to information assets with appropriate controls and monitoring procedures.",High
DSI-01.1,"Do you provide a capability to identify data and virtual machines via policy tags/metadata (e.g., tags can be used to limit guest operating systems from booting/instantiating/transporting data in the wrong country)",Yes,"IBP implements comprehensive AWS resource tagging including data classification labels, geographic restrictions, and policy enforcement as documented in the Data Protection and Privacy Policy. Tags control data residency (EU regions only), access policies, and automated lifecycle management with policy-based restrictions enforced through AWS services.",High
DSI-01.2,"Do you provide a capability to identify data and hardware via policy tags/metadata/hardware tags (e.g., TXT/TPM, VN-Tag, etc.)",Yes,"AWS provides hardware-level security through TPM, hardware security modules, and instance metadata services. Our Technology and Infrastructure Security Policy leverages AWS hardware tagging, instance metadata, and security services to identify and control data based on hardware characteristics and security requirements.",High
DSI-02.1,"Do you inventory, document, and maintain data flows for data that is resident (permanent or temporary) within the services' applications and infrastructure network and systems",Yes,"The Data Protection and Privacy Policy requires comprehensive data flow documentation including data mapping, processing activities records, and system data flows. Data inventory covers breeding data, personal data, operational data, and system data with documented sources, processing purposes, and retention requirements.",High
DSI-02.2,Can you ensure that data does not migrate beyond a defined geographical residency,Yes,"IBP ensures data residency through AWS region controls configured to restrict data to EU regions (eu-west-1 and eu-central-1) as documented in the Data Protection and Privacy Policy. Geographic restrictions are enforced through IAM policies, S3 bucket policies, and VPC configuration preventing data migration outside defined boundaries.",High
DSI-03.1,"Do you provide standardized (e.g. ISO/IEC) non-proprietary encryption algorithms (3DES, AES, etc.) to tenants in order for them to protect their data if it is required to move through public networks (e.g., the Internet)",Yes,"IBP implements industry-standard AES-256 encryption for data at rest and TLS 1.3 for data in transit as documented in the Data Protection and Privacy Policy. All encryption uses standardized, non-proprietary algorithms (AES, RSA, ECDHE) with customer-managed KMS keys available for enhanced control of encryption keys.",High
DSI-03.2,"Do you utilize open encryption methodologies any time your infrastructure components need to communicate with each other via public networks (e.g., Internet-based replication of data from one environment to another)",Yes,"All inter-service communications use standard TLS 1.3 encryption with certificate validation, cross-region replication uses AES-256 encryption, and VPN connections utilize industry-standard IPSec protocols as specified in the Data Protection and Privacy Policy. No proprietary encryption methods are used for any communications.",High
DSI-04.1,Are policies and procedures established for data labeling and handling in order to ensure the security of data and objects that contain data,Yes,"The Data Protection and Privacy Policy establishes a three-tier classification system (Public, Internal, Restricted) with specific handling requirements for each level. Data labeling includes metadata tags, access controls, and retention policies with automated enforcement through AWS resource tagging and IAM policies.",High
DSI-04.2,"Do you follow a structured data-labeling standard (e.g., ISO 15489, Oasis XML Catalog Specification, CSA data type guidance)",Yes,"IBP follows structured data labeling aligned with CSA data type guidance and ISO principles as documented in the Data Protection and Privacy Policy. Labeling includes classification level, data owner, retention period, privacy category, and handling instructions with consistent metadata standards across all data assets.",High
DSI-04.3,Are mechanisms for label inheritance implemented for objects that act as aggregate containers for data,Yes,"AWS services provide automatic metadata inheritance for containers, with S3 bucket policies inheriting to objects, IAM role permissions applying to associated resources, and data classification tags propagating through container hierarchies as managed through our Data Protection and Privacy Policy procedures.",High
DSI-05.1,Do you have procedures in place to ensure production data shall not be replicated or used in non-production environments,Yes,"The Technology and Infrastructure Security Policy requires strict separation between production and non-production environments. Production data is prohibited in development/testing environments, with data masking, synthetic data generation, and separate AWS accounts ensuring production data isolation with documented controls and monitoring.",High
DSI-06.1,"Are the responsibilities regarding data stewardship defined, assigned, documented, and communicated",Yes,"The Data Protection and Privacy Policy defines data stewardship roles including Data Owner (business accountability), Data Steward (day-to-day management), Data Custodian (technical management), and Data User (consumption) responsibilities. Role assignments are documented and communicated through policy training and role-specific procedures.",High
DSI-07.1,"Do you support the secure deletion (e.g., degaussing/cryptographic wiping) of archived and backed-up data",Yes,IBP implements secure deletion through cryptographic erasure via KMS key destruction and secure wiping procedures as documented in the Data Protection and Privacy Policy. NIST SP 800-88 guidelines are followed for media sanitization with documented deletion certificates and verification procedures for compliance requirements.,High
DSI-07.2,"Can you provide a published procedure for exiting the service arrangement, including assurance to sanitize all computing resources of tenant data once a customer has exited your environment or has vacated a resource",Yes,"The Data Protection and Privacy Policy includes comprehensive data disposal procedures with cryptographic erasure, deletion verification, and certificates of destruction. Customer exit procedures ensure complete data removal within defined timeframes with documented verification and compliance reporting as specified in service agreements.",High
EKM-01.1,Do you have key management policies binding keys to identifiable owners,Yes,The Data Protection and Privacy Policy establishes key management procedures with documented ownership for each encryption key lifecycle stage. AWS KMS provides key ownership tracking with customer-managed keys assigned to specific services and data classifications with comprehensive access logging and audit trails.,High
EKM-02.1,Do you have a capability to allow creation of unique encryption keys per tenant,Yes,"IBP can implement customer-specific encryption keys through AWS KMS customer-managed keys, allowing unique key generation, ownership, and management per tenant as documented in the Data Protection and Privacy Policy. Key separation ensures tenant data encryption independence with dedicated key management capabilities.",High
EKM-02.2,Do you have a capability to manage encryption keys on behalf of tenants,Yes,"AWS KMS provides comprehensive key management services including automatic rotation, access control, and lifecycle management as specified in the Data Protection and Privacy Policy. IBP can manage customer keys through secure procedures with appropriate access controls and audit trails for tenant key management requirements.",High
EKM-02.3,Do you maintain key management procedures,Yes,"The Data Protection and Privacy Policy establishes comprehensive key management procedures including generation, distribution, usage, rotation, archival, and destruction with documented roles and responsibilities. Procedures cover AWS managed keys, customer-managed keys, and application-level key management with regular reviews and updates.",High
EKM-02.4,Do you have documented ownership for each stage of the lifecycle of encryption keys,Yes,"Key lifecycle ownership is documented in the Data Protection and Privacy Policy with specific responsibilities for generation (AWS/Customer), distribution (automated), usage (application services), rotation (automated/manual), and destruction (secure deletion). Each stage includes designated owners and audit procedures.",High
EKM-02.5,Do you utilize any third party/open source/proprietary frameworks to manage encryption keys,Yes,"IBP utilizes AWS Key Management Service as the primary key management framework, supplemented by application-level key handling through established cryptographic libraries. All key management solutions are industry-standard with documented security validation and regular security updates as specified in our Data Protection and Privacy Policy.",High
EKM-03.1,Do you encrypt tenant data at rest (on disk/storage) within your environment,Yes,"All tenant data is encrypted at rest using AES-256 encryption through AWS managed services including RDS database encryption, S3 server-side encryption, and EBS volume encryption as documented in the Data Protection and Privacy Policy. Customer-managed KMS keys are available for enhanced encryption control and key ownership.",High
